Day,High,Low,Precip.,Snow,Snow Depth
,(°F),(°F),(inch),(inch),(inch)
1-Jan-16,21.9,9,0,0,0
2-Jan-16,23,10.9,0,0,0
3-Jan-16,27,21,0,0,0
4-Jan-16,32,21.9,0,0,0
5-Jan-16,45,28,0,0,0
6-Jan-16,42.1,32,0.01,0,0
7-Jan-16,39.9,30.9,0.09,0,0
8-Jan-16,35.1,30.9,0.13,0.51,0
9-Jan-16,39,30.9,0,0,0
10-Jan-16,32,28,0,0,0
11-Jan-16,36,23,0,0,0
12-Jan-16,36,21,0,0,0
13-Jan-16,34,21.9,0,0,0
14-Jan-16,39,25,0.01,0.12,0
15-Jan-16,37,30.9,0.08,0.98,0.98
16-Jan-16,39,30.9,0,0,0
17-Jan-16,48.9,35.1,0.17,0,0
18-Jan-16,44.1,36,0.34,0,0
19-Jan-16,44.1,33.1,0.05,0,0
20-Jan-16,43,34,0.06,0,0
21-Jan-16,44.1,28,0,0,0
22-Jan-16,46.9,30,0,0,0
23-Jan-16,43,27,0.01,0,0
24-Jan-16,37,32,0.49,2.99,2.99
25-Jan-16,36,32,0.08,0.51,0.98
26-Jan-16,37.9,27,0,0,0
27-Jan-16,36,24.1,0,0,0
28-Jan-16,42.1,26.1,0,0,0
29-Jan-16,48.9,32,0.02,0,0
30-Jan-16,50,30.9,0.09,4.02,4.02
31-Jan-16,33.1,24.1,0.17,0.51,4.02
1-Feb-16,30,26.1,-,-,2.99
2-Feb-16,28.9,19.9,0.04,-,2.01
3-Feb-16,33.1,21.9,0,0,2.01
4-Feb-16,32,21,0.01,0,2.01
5-Feb-16,41,28,0.07,0.98,2.01
6-Feb-16,39.9,25,0,0,0.98
7-Feb-16,39.9,28,0,0,0.98
8-Feb-16,42.1,28.9,0,0,0
9-Feb-16,41,28,0,0,0
10-Feb-16,37,28,0,0,0
11-Feb-16,35.1,28,0,0,0
12-Feb-16,34,28.9,0,0,0
13-Feb-16,37,28,0,0,0
14-Feb-16,45,28.9,0.11,0,0
15-Feb-16,55.9,39.9,0,0,0
16-Feb-16,59,42.1,0,0,0
17-Feb-16,62.1,41,0,0,0
18-Feb-16,55.9,34,0.31,1.5,0.98
19-Feb-16,57.9,37,0.01,0,0
20-Feb-16,48,37,0,0,0
21-Feb-16,48,30,0,0,0
22-Feb-16,43,37,0.01,0,0
23-Feb-16,44.1,28.9,0,0,0
24-Feb-16,51.1,33.1,0,0,0
25-Feb-16,54,35.1,0,0,0
26-Feb-16,63,39,0,0,0
27-Feb-16,64,46.9,0,0,0
28-Feb-16,57,39,0,0,0
1-Mar-16,63,39.9,0,0,0
2-Mar-16,59,46,0,0,0
3-Mar-16,68,44.1,0,0,0
4-Mar-16,69.1,48,0,0,0
5-Mar-16,68,54,0,0,0
6-Mar-16,61,33.1,0.53,0,0
7-Mar-16,48,34,0.26,0,0
8-Mar-16,51.1,37,0,0,0
9-Mar-16,52,41,0.02,0,0
10-Mar-16,69.1,42.1,0,0,0
11-Mar-16,68,53.1,0,0,0
12-Mar-16,-,-,-,-,-
13-Mar-16,60.1,42.1,0,0,0
14-Mar-16,55.9,34,0.16,0.12,0
15-Mar-16,42.1,35.1,0.03,0,0
16-Mar-16,51.1,34,0.01,0,0
17-Mar-16,53.1,42.1,0,0,0
18-Mar-16,52,33.1,0,0,0
19-Mar-16,55.9,35.1,0,0,0
20-Mar-16,70,35.1,0,0,0
21-Mar-16,68,53.1,0,0,0
22-Mar-16,66,33.1,0.47,2.01,0
23-Mar-16,46.9,34,0.02,0,0
24-Mar-16,55.9,39,0,0,0
25-Mar-16,54,39,0,0,0
26-Mar-16,-,-,-,-,-
27-Mar-16,-,-,-,-,-
28-Mar-16,59,33.1,0.43,0,0
29-Mar-16,48.9,37,0.29,-,-
30-Mar-16,46.9,37,0.1,-,0
31-Mar-16,51.1,39.9,0.05,-,-
1-Apr-16,51.1,39.9,0.51,0.39,0
2-Apr-16,-,-,-,-,-
3-Apr-16,70,46.9,0,0,0
4-Apr-16,71.1,51.1,0,0,0
5-Apr-16,61,42.1,0,0,0
6-Apr-16,61,41,0,0,0
7-Apr-16,68,46.9,0,0,0
8-Apr-16,75.9,55,0,0,0
9-Apr-16,75,57,0,0,0
10-Apr-16,66.9,53.1,0,0,0
11-Apr-16,68,51.1,0,0,0
12-Apr-16,72,52,0,0,0
13-Apr-16,70,53.1,0.06,0,0
14-Apr-16,60.1,37.9,0.37,0,0
15-Apr-16,52,35.1,0.07,0,0
16-Apr-16,55,36,0,0,0
17-Apr-16,57.9,39.9,0,0,0
18-Apr-16,57.9,46,0,0,0
19-Apr-16,63,48,0,0,0
20-Apr-16,73,50,0,0,0
21-Apr-16,81,55,0,0,0
22-Apr-16,80.1,63,0,0,0
23-Apr-16,78.1,44.1,0.37,0,0
24-Apr-16,60.1,44.1,0.13,0,0
25-Apr-16,61,48.9,0.01,0,0
26-Apr-16,52,44.1,0.09,0,0
27-Apr-16,57.9,45,0.2,0,0
28-Apr-16,57,46,0,0,0
29-Apr-16,55.9,44.1,0,0,0
30-Apr-16,60.1,41,0.01,0,0
1-May-16,62.1,46.9,0,0,0
2-May-16,66.9,48,0,0,0
3-May-16,71.1,48.9,0,0,0
4-May-16,81,54,0,0,0
5-May-16,82.9,63,0,0,0
6-May-16,72,55.9,0.04,0,0
7-May-16,59,48,0.14,0,0
8-May-16,52,48,0.3,0,0
9-May-16,68,48.9,0.39,0,0
10-May-16,64,43,0,0,0
11-May-16,60.1,42.1,0,0,0
12-May-16,75.9,46.9,0,0,0
13-May-16,84,55.9,0,0,0
14-May-16,-,-,-,-,-
15-May-16,73,55,0.07,0,0
16-May-16,63,51.1,0.03,0,0
17-May-16,69.1,54,0,0,0
18-May-16,73,53.1,0,0,0
19-May-16,80.1,55.9,0,0,0
20-May-16,-,-,-,-,-
21-May-16,71.1,46.9,0.37,0,0
22-May-16,61,46,0,0,0
23-May-16,68,45,0,0,0
24-May-16,71.1,53.1,0,0,0
25-May-16,66.9,52,0,0,0
26-May-16,69.1,50,0,0,0
27-May-16,70,52,0,0,0
28-May-16,72,53.1,0,0,0
29-May-16,79,57.9,0,0,0
30-May-16,75,52,0,0,0
31-May-16,73.9,55,0,0,0
1-Jun-16,80.1,57,0,0,0
2-Jun-16,84.9,62.1,0,-,-
3-Jun-16,84,63,0,-,-
4-Jun-16,87.1,63,0,0,0
5-Jun-16,91,64.9,0,0,0
6-Jun-16,95,70,0,0,0
7-Jun-16,87.1,70,0,0,0
8-Jun-16,91.9,66.9,0,0,0
9-Jun-16,91,75,0,0,0
10-Jun-16,90,-,0,0,0
11-Jun-16,89.1,64,0.21,0,0
12-Jun-16,73.9,55,0.02,0,0
13-Jun-16,72,60.1,0.04,0,0
14-Jun-16,84,57,0.07,0,0
15-Jun-16,89.1,59,0,0,0
16-Jun-16,79,55,0,0,0
17-Jun-16,88,57,0,0,0
18-Jun-16,91.9,70,0,0,0
19-Jun-16,84,68,0,0,0
20-Jun-16,95,66,0,0,0
21-Jun-16,91,-,0,0,0
22-Jun-16,93.9,66,0,0,0
23-Jun-16,93,72,0,0,0
24-Jun-16,91.9,70,0,0,0
25-Jun-16,91.9,70,0,0,0
26-Jun-16,88,60.1,0,0,0
27-Jun-16,99,68,0,0,0
28-Jun-16,100,75.9,0,0,0
29-Jun-16,95,75,0,0,0
30-Jun-16,88,71.1,0,0,0